event_date,location,event_type,sub_event_type,actor1,actor2,fatalities,notes,intsum
2019-02-12,Anderhama,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (India),Civilians (India),1,"On 12 February 2019, a youth was killed in a blast at a shop in Anderhama village (Kupwara, J&K). The explosion was believed to be the result of an IED.","INTSUM Report
Date: 12 February 2019
Location: Anderhama, Kupwara, Jammu and Kashmir, India (34.5035° N, 74.2869° E)
Actors Involved:
- Primary: Unidentified Armed Group (India)
- Secondary: Civilians (India)

Event Summary:
A civilian was killed in an explosion at a shop in Anderhama village, believed to be caused by an improvised explosive device (IED) planted by an unidentified armed group.

Outcome:
- Successful detonation of IED, resulting in civilian fatality.

Casualties/Fatalities:
- 1 civilian killed.

Strategic Implications:
- Escalation of violence in Jammu and Kashmir, potentially destabilizing the region.
- Increased civilian casualties may heighten tensions and undermine security operations.

Analyst Remarks:
- The use of IEDs indicates a shift in tactics by insurgent or militant groups, posing a greater threat to civilian populations.
- Further intelligence is required to identify the responsible group and their motives.

Recommended Action:
- Enhance counter-IED operations and intelligence gathering in the region.
- Strengthen security measures around civilian areas to prevent future incidents.
- Conduct public awareness campaigns to educate civilians on IED threats and safety protocols."
2020-05-11,Goalmara,Riots,Mob violence,Rioters (India),Rioters (India),0,"On 11 May 2020, two groups of people clashed with each other at Goalmara area under Mohonpur village in Kamalpur (Dhalai district, Tripura) after one of the groups started to create a barricade in the area preventing entry of the other amid the declaration of the area as coronavirus containment zone by the government. Six people were injured in the clash.",
2019-09-28,Srinagar,Explosions/Remote violence,Grenade,Kashmir Rebels (India),Police Forces of India (2014-) Central Reserve Police Force,0,"On 28 September 2019, suspected militants (coded as Kashmir Rebels) hurled a grenade at CRPF personnel in the Nawa Kadal area of Srinagar city (J&K). No injuries were reported.","<s> INTSUM Report
Date: 28 September 2019
Location: Nawa Kadal, Srinagar, Jammu and Kashmir, India (34.0857° N, 74.8056° E)
Actors Involved:
- Primary: Kashmir Rebels (India)
- Secondary: Central Reserve Police Force (CRPF) of India

Event Summary:
Suspected militants (Kashmir Rebels) hurled a grenade at CRPF personnel in the Nawa Kadal area of Srinagar, Jammu and Kashmir. No injuries or fatalities were reported.

Outcome:
No casualties or damage reported. The attack was unsuccessful in causing harm.

Casualties/Fatalities:
0 fatalities, 0 injuries

Strategic Implications:
The incident reflects ongoing insurgent activity in the region, despite heightened security measures. It may indicate continued operational capability of militant groups in urban areas.

Analyst Remarks:
The lack of casualties suggests either poor targeting, ineffective ordnance, or a deliberate non-lethal intent. Further monitoring is recommended to assess militant tactics and CRPF response.

Recommended Action:
Enhance surveillance and intelligence gathering in Srinagar to preempt future attacks. Strengthen CRPF patrols in high-risk areas like Nawa Kadal. Coordinate with local intelligence to identify militant networks."
2017-06-12,Tral,Explosions/Remote violence,Grenade,JeM: Jaish-e-Mohammad,Police Forces of India (2014-) Central Reserve Police Force,0,9 members of the Central Reserve Police Force (CRPF) suffered injuries when Jaish-e-Mohammad militants hurled a grenade at their camp in the Tral area of Pulwama.,"INTSUM Report
Date: 12 June 2017
Location: Tral, Pulwama, Jammu and Kashmir, India (33.9271, 75.1159)
Actors Involved:
- Primary: Jaish-e-Mohammad (JeM)
- Secondary: Central Reserve Police Force (CRPF), India

Event Summary:
Jaish-e-Mohammad (JeM) militants launched a grenade attack on a CRPF camp in Tral, Pulwama, injuring nine CRPF personnel.

Outcome:
The attack resulted in nine CRPF personnel sustaining injuries. No fatalities were reported.

Casualties/Fatalities:
- Injured: 9 (CRPF personnel)
- Fatalities: 0

Strategic Implications:
The attack underscores ongoing insurgent activity in the region, particularly by JeM, and highlights the persistent security challenges faced by Indian security forces in Jammu and Kashmir.

Analyst Remarks:
This incident aligns with JeM's historical tactics of targeting security forces in the region. The lack of fatalities suggests the attack may have been intended to disrupt operations rather than inflict heavy casualties.

Recommended Action:
- Strengthen security measures around CRPF camps in high-risk areas.
- Enhance intelligence gathering to preempt future JeM attacks.
- Coordinate with local authorities to improve community engagement and counterinsurgency efforts."
2024-01-08,Salhawas,Violence against civilians,Attack,Unidentified Armed Group (India),Civilians (India),0,"Around 8 January 2024 (as reported), unidentified car-borne assailants (on the orders of the village chief, based on the victim's claim) intercepted a motorcycle-borne village Panch (member of the local government) and assaulted him with iron rods, and threatened him with a gun, along the Delhi-Jaipur Highway near Salhawas village (Rewari, Haryana) in a suspected attempt to pressurize the village panch to sign a proposal document. The village panch suffered a broken arm and a leg.","INTSUM Report
Date: 8 January 2024
Location: Salhawas, Rewari, Haryana, India (Coordinates: 28.1443, 76.6717)
Actors Involved:
- Primary: Unidentified Armed Group (India)
- Secondary: Civilians (India) (Victim: Village Panch)

Event Summary:
On 8 January 2024, unidentified car-borne assailants, allegedly acting on the orders of the village chief, intercepted a motorcycle-borne village Panch (local government official) along the Delhi-Jaipur Highway near Salhawas village, Haryana. The assailants assaulted the Panch with iron rods, threatened him with a gun, and caused a broken arm and leg. The attack appears to be an attempt to coerce the Panch into signing a proposal document.

Outcome:
- Assailants succeeded in injuring the Panch but did not achieve their immediate objective (document signing).
- No fatalities reported.

Casualties/Fatalities:
- 1 civilian (village Panch) injured (broken arm and leg).

Strategic Implications:
- Indicates potential local governance disputes or criminal coercion.
- Highlights vulnerabilities in rural security, particularly along highways.
- May signal broader tensions within the village or regional governance structures.

Analyst Remarks:
- The involvement of unidentified assailants suggests possible criminal or local power struggle elements.
- Further investigation is required to determine the motives of the village chief and the nature of the proposal document.

Recommended Action:
- Local law enforcement should increase patrols along the Delhi-Jaipur Highway and investigate the incident.
- Authorities should assess the village chief's role and potential motives.
- Community engagement initiatives may be necessary to address underlying tensions."
2019-10-29,Machil,Battles,Armed clash,Military Forces of India (2014-),Military Forces of Pakistan (2018-2022),1,"On 29 October 2019, military forces of India and Pakistan exchanged fire across the LoC in the Machil sector area (Kupwara, J&K). One Indian civilian was killed and another seven were left injured in the exchange.",
2017-02-21,Sukma,Explosions/Remote violence,Remote explosive/landmine/IED,CPI (Maoist): Communist Party of India (Maoist),Police Forces of India (2014-) Central Reserve Police Force,0,"A Central Reserve Police Force (CRPF) trooper was injured after he stepped on a Maoist-laid pressure bomb in the forest of Dharampeta, Sukma district.","INTSUM Report
Date: 2017-02-21
Location: Dharampeta, Sukma District, Chhattisgarh, India (Coordinates: 18.3901, 81.6594)
Actors Involved:
- Primary Actor: CPI (Maoist): Communist Party of India (Maoist)
- Secondary Actor: Central Reserve Police Force (CRPF)

Event Summary:
A CRPF trooper sustained injuries after triggering a Maoist-laid pressure bomb in the forest of Dharampeta, Sukma District, Chhattisgarh.

Outcome:
- One CRPF trooper injured; no fatalities reported.

Casualties/Fatalities:
- 0 fatalities
- 1 CRPF trooper injured

Strategic Implications:
- Continued Maoist insurgent activity in Chhattisgarh, particularly in Sukma District, poses a persistent security threat to Indian security forces.
- The use of IEDs by Maoist insurgents highlights their capability to conduct asymmetric warfare against government forces.

Analyst Remarks:
- The incident underscores the ongoing Maoist insurgency in the region, with a focus on targeting security personnel through improvised explosive devices (IEDs).
- The low casualty count suggests either a malfunctioning device or a non-lethal detonation.

Recommended Action:
- Enhanced counter-IED training and patrols in high-risk areas such as Sukma District.
- Increased intelligence gathering to preempt future Maoist ambushes or IED deployments."
2023-08-16,Ghaziabad,Riots,Mob violence,Rioters (India),Civilians (India),0,"On 16 August 2023, a group of bike-borne assailants from the Muslim community suspectedly assaulted a man from the Hindu community near Hapur Chungi locality in Ghaziabad city (Uttar Pradesh) for seating a woman from the Muslim community on his bike.","<s> INTSUM Report
Date: 16 August 2023
Location: Ghaziabad, Uttar Pradesh, India (Coordinates: 28.6653, 77.4391)
Actors Involved:
- Primary: Rioters (Muslim community)
- Secondary: Civilians (Hindu community)
- Target: Hindu man and Muslim woman

Event Summary:
On 16 August 2023, a group of bike-borne assailants from the Muslim community assaulted a man from the Hindu community in Ghaziabad, Uttar Pradesh, for seating a Muslim woman on his bike. The incident occurred near Hapur Chungi locality.

Outcome:
The assault triggered a tense situation, though no fatalities were reported.

Casualties/Fatalities:
- Reported: 0

Strategic Implications:
- The incident highlights communal tensions in Ghaziabad, potentially escalating inter-community violence.
- Authorities may need to monitor the situation to prevent further unrest.

Analyst Remarks:
- The attack appears to be motivated by communal sensitivities, possibly linked to broader socio-political dynamics in Uttar Pradesh.
- The absence of fatalities suggests a localized, spontaneous incident rather than a coordinated attack.

Recommended Action:
- Enhanced police presence in Ghaziabad to deter further violence.
- Community engagement initiatives to mitigate tensions between Hindu and Muslim populations.
- Continuous monitoring of communal flashpoints to preempt escalation."
2018-02-07,Kaylan,Protests,Peaceful protest,Protesters (India),,0,"On 7 February 2018, in Kaylan, in the latest protest against the KDMC, a demonstration was held outside its headquarters as women thronged the street and shouted slogans.","INTSUM Report
Date: 07 February 2018
Location: Kaylan, Malappuram, Kerala, India
Actors Involved: Protesters (India)
Event Summary: On 07 February 2018, protesters staged a peaceful demonstration outside the Kerala Dairy Marketing Corporation (KDMC) headquarters in Kaylan, Kerala, India. The protest involved women gathering in the street and shouting slogans against the KDMC.
Outcome: The protest concluded without reported violence or arrests.
Casualties/Fatalities: 0
Strategic Implications: The protest highlights ongoing public dissatisfaction with the KDMC, potentially indicating broader regional grievances. Continued monitoring is recommended to assess escalation risks.
Analyst Remarks: The peaceful nature of the protest suggests controlled dissent, but underlying issues may persist. Further intelligence is required to determine the protest's broader impact.
Recommended Action: Monitor local media and intelligence channels for follow-up protests or KDMC responses. Assess potential for escalation or similar protests in other regions."
2020-01-10,Imphal,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (India),,0,"On 10 January 2020, a low intensity explosive device exploded in Singjamei in Imphal city (Imphal West district, Manipur). No injuries occurred.","INTSUM Report
Date: 10 January 2020
Location: Singjamei, Imphal, Imphal West district, Manipur, India (24.7992, 93.9365)
Actors Involved: Unidentified Armed Group (India)
Event Summary: A low-intensity explosive device detonated in Singjamei, Imphal, resulting in no injuries or fatalities.
Outcome: No reported injuries or fatalities; incident remains unresolved with perpetrators unidentified.
Casualties/Fatalities: 0
Strategic Implications: The incident underscores ongoing security challenges in Manipur, particularly the presence of unidentified armed groups capable of conducting low-level attacks. The lack of casualties suggests either a failed attack or a deliberate non-lethal demonstration of capability.
Analyst Remarks: The absence of casualties may indicate a warning or intimidation tactic rather than a lethal attack. Further investigation is required to determine the group's intent and capabilities.
Recommended Action: Enhanced surveillance and counter-IED measures in Imphal to prevent future incidents. Coordinate with local authorities to gather intelligence on potential suspects."
2023-07-11,Galsi,Riots,Mob violence,Rioters (India),Rioters (India),0,"On 11 July 2023, CPI(M) members clashed with TMC members at Galsi town (Purba Bardhaman district, WB) after the repolling for panchayat (village government) elections.","INTSUM Report
Date: 11 July 2023
Location: Galsi, Purba Bardhaman District, West Bengal, India (23.3393, 87.6893)
Actors Involved:
- Primary: CPI(M) members
- Secondary: TMC members
Event Summary: Clashes erupted between CPI(M) and TMC members in Galsi town following repolling for panchayat (village government) elections.
Outcome: No fatalities reported; exact extent of violence unspecified.
Casualties/Fatalities: 0
Strategic Implications:
- Continued political tensions in West Bengal, particularly during election periods.
- Potential for further clashes if grievances remain unresolved.
Analyst Remarks: The incident highlights deep-seated political rivalries in the region, with elections serving as flashpoints for violence. Monitoring of local political dynamics is advised.
Recommended Action: Authorities should deploy additional security measures during future election-related activities to prevent escalation."
2018-02-01,Gauripur,Riots,Mob violence,Rioters (India),,0,An unidentified group set fire to an AASU office in Gauripur on 1 February 2018.,"INTSUM Report
Date: 01 February 2018
Location: Gauripur, Assam, India (26.0833, 89.9611)
Actors Involved: Rioters (India)
Event Summary: An unidentified group of rioters set fire to an office of the All Assam Students' Union (AASU) in Gauripur, Assam.
Outcome: Property damage to AASU office; no reported fatalities.
Casualties/Fatalities: 0
Strategic Implications: The incident may indicate rising tensions or targeted attacks against AASU, potentially destabilizing the region.
Analyst Remarks: Further investigation is required to identify the perpetrators and their motives. Monitoring for similar incidents in the region is advised.
Recommended Action: Increase surveillance in Gauripur and neighboring areas to prevent escalation. Coordinate with local law enforcement for threat assessment and response planning."
2021-07-26,Damhal Hanji Pora,Battles,Armed clash,Military Forces of India (2014-) Rashtriya Rifles,LeT: Lashkar-e-Taiba,1,"On 26 July 2021, RR, CRPF and SoG exchanged fire with an LeT militant during a CASO at Gurwatan Aharbal area in Damhal Hanjipora tehsil coded at Damhal Hanji Pora city (Kulgam district, J&K). One LeT militant was killed in the encounter.","INTSUM Report
Date: 2021-07-26
Location: Damhal Hanji Pora, Kulgam District, Jammu and Kashmir, India (33.6127, 74.926)
Actors Involved:
- Primary: Military Forces of India (2014-) Rashtriya Rifles (RR)
- Secondary: Lashkar-e-Taiba (LeT)
- Supporting: Central Reserve Police Force (CRPF), Special Operations Group (SoG)

Event Summary:
Security forces (RR, CRPF, and SoG) engaged in an armed clash with a LeT militant during a cordon and search operation (CASO) in the Gurwatan Aharbal area of Damhal Hanji Pora, Kulgam District, Jammu and Kashmir.

Outcome:
The operation resulted in the neutralization of one LeT militant.

Casualties/Fatalities:
- LeT: 1 killed

Strategic Implications:
The operation demonstrates continued counter-insurgency efforts by Indian security forces in Jammu and Kashmir, particularly against LeT militants. The engagement underscores the persistent security threat posed by militant groups in the region.

Analyst Remarks:
The successful neutralization of the LeT militant indicates effective counter-terrorism measures. However, the ongoing presence of militant groups suggests that the security environment remains volatile.

Recommended Action:
Continue enhanced surveillance and counter-insurgency operations in the region to preempt further militant activities. Strengthen intelligence-sharing mechanisms to identify and neutralize threats proactively."
2019-12-28,Imphal,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (India),Civilians (India),0,"On 28 December 2019, an unidentified group exploded an Improvised Explosive Device (IED) in Ngari-Galli, Thangal Keithel in Imphal (Imphal West district, Manipur) in which two people were wounded.","<s> INTSUM Report
Date: 28 December 2019
Location: Ngari-Galli, Thangal Keithel, Imphal (Imphal West district, Manipur, India)
Coordinates: 24.7992° N, 93.9365° E
Actors Involved:
- Primary Actor: Unidentified Armed Group (India)
- Secondary Actor: Civilians (India)

Event Summary:
An unidentified armed group detonated an Improvised Explosive Device (IED) in Ngari-Galli, Thangal Keithel, Imphal, Manipur. The explosion resulted in two civilian casualties, both of whom were wounded.

Outcome:
The IED detonation caused injuries to two civilians. No fatalities were reported. The incident remains unresolved as the perpetrators have not been identified or apprehended.

Casualties/Fatalities:
- Wounded: 2 civilians
- Fatalities: 0

Strategic Implications:
The incident highlights ongoing security challenges in Manipur, particularly the presence of unidentified armed groups capable of conducting IED attacks. The lack of identification of the perpetrators suggests potential gaps in intelligence gathering and law enforcement capabilities in the region.

Analyst Remarks:
The targeting of a civilian area indicates a possible intent to disrupt public order or send a message to the government. The absence of claimed responsibility complicates attribution and may indicate a low-profile or clandestine group operating in the region.

Recommended Action:
- Enhance intelligence surveillance in Imphal and surrounding areas to identify and neutralize potential threats.
- Strengthen coordination between local law enforcement and intelligence agencies to prevent future IED incidents.
- Conduct public awareness campaigns to educate civilians on identifying and reporting suspicious activities."
2022-03-05,Patiala,Protests,Peaceful protest,Protesters (India),,0,"On 5 March 2022, BKU farmers staged a protest in Patiala city (Patiala district, Punjab), against the Central Government's decision to end Punjab's representation in the Bhakra Beas Management Board (BBMB).","INTSUM Report
Date: 05 March 2022
Location: Patiala, Punjab, India (30.3362° N, 76.3922° E)
Actors Involved:
- Primary: Protesters (Bharatiya Kisan Union - BKU)
- Secondary: None
- Ally: None

Event Summary:
BKU farmers staged a peaceful protest in Patiala, Punjab, against the Central Government's decision to end Punjab's representation in the Bhakra Beas Management Board (BBMB).

Outcome:
- Protest concluded without escalation.

Casualties/Fatalities:
- None reported.

Strategic Implications:
- Potential for sustained regional discontent over central-state relations in Punjab.
- May influence future agricultural policy debates and farmer-government negotiations.

Analyst Remarks:
- The protest reflects ongoing tensions between state and central governance in Punjab.
- Monitoring for further farmer-led activism is recommended.

Recommended Action:
- Continue surveillance of farmer-led movements in Punjab.
- Assess potential impact on regional stability and governance dynamics."
2020-02-25,Nashik,Protests,Peaceful protest,Protesters (India),Protesters (India),0,"On 25 February 2020, BJP staged a dharna outside the district collectorate in Nashik city (Nashik, Maharashtra) against the state government for failing to fulfill the promises it made to farmers. INC workers also went on a dharna in the same location, protesting against possible plans of BJP to stop reservations for backward classes.","<s> INTSUM Report
Date: 25 February 2020
Location: Nashik, Maharashtra, India (19.9972° N, 73.7909° E)
Actors Involved:
- Primary: Bharatiya Janata Party (BJP) supporters
- Secondary: Indian National Congress (INC) workers

Event Summary:
On 25 February 2020, BJP supporters staged a sit-in protest (dharna) outside the Nashik district collectorate, demanding the state government fulfill promises made to farmers. Concurrently, INC workers conducted a separate dharna at the same location, protesting against alleged BJP plans to end reservations for backward classes.

Outcome:
- Dual peaceful protests occurred without direct confrontation.
- No reported escalation or violence.

Casualties/Fatalities:
- None reported.

Strategic Implications:
- Highlights ongoing political tensions between BJP and INC in Maharashtra.
- Potential for further protests if grievances remain unresolved.
- Could exacerbate farmer and caste-based unrest in the region.

Analyst Remarks:
- The simultaneous protests reflect deepening political polarization.
- Both parties are leveraging grassroots mobilization to pressure the government.
- Monitoring required for potential escalation or broader unrest.

Recommended Action:
- Continue monitoring political developments in Maharashtra.
- Assess impact on regional stability and security posture.
- Prepare contingency plans for potential escalation."
2020-10-14,Madurai,Riots,Violent demonstration,Rioters (India),,0,"Around 14 October 2020 (as reported), a group of 18 juvenile inmates rioted in Madurai city (Madurai, TN) demanding bail. Rioters vandalized property.","<s>INTSUM Report
Date: 14 October 2020
Location: Madurai, Tamil Nadu, India (Coordinates: 9.9174° N, 78.1196° E)
Actors Involved:
- Primary: Rioters (18 juvenile inmates)
- Secondary: None
- Allied: None

Event Summary:
On 14 October 2020, a group of 18 juvenile inmates rioted in Madurai, Tamil Nadu, India, demanding bail. The rioters vandalized property during the incident.

Outcome:
- Property damage reported.
- No fatalities or injuries reported.

Casualties/Fatalities:
- 0 fatalities.
- 0 injuries.

Strategic Implications:
- Potential for increased unrest among juvenile detainees if demands are not addressed.
- Possible strain on local law enforcement and judicial systems.

Analyst Remarks:
The incident highlights underlying tensions within juvenile detention facilities. Immediate measures to address grievances may mitigate further escalation.

Recommended Action:
- Authorities should conduct a thorough investigation to identify root causes.
- Implement measures to improve conditions and communication within juvenile detention facilities.
- Monitor for similar incidents in other regions to preemptively address potential unrest."
2022-09-26,Hyderabad,Strategic developments,Arrests,Police Forces of India (2014-),Civilians (India),0,"On 26 September 2022, police arrested Congress leaders that were on their way for a protest march in Hyderabad city (Hyderabad district, Telangana) demanding the return of the lands of Dalits, which were taken away by the government for various projects.","<s> INTSUM Report
Date: 26 September 2022
Location: Hyderabad, Telangana, India (Coordinates: 17.384, 78.4563)
Actors Involved:
- Primary Actor: Police Forces of India (2014-)
- Secondary Actor: Congress leaders (India)

Event Summary:
On 26 September 2022, Indian police forces arrested Congress leaders in Hyderabad, Telangana, who were en route to a protest march. The protest aimed to demand the return of lands confiscated from Dalits by the government for various development projects.

Outcome:
Congress leaders were detained, halting the planned protest march.

Casualties/Fatalities:
0 reported.

Strategic Implications:
- Potential escalation in tensions between opposition parties and the government over land rights and Dalit community grievances.
- Possible increase in political protests in Telangana, particularly if similar incidents occur.

Analyst Remarks:
The arrest of opposition leaders ahead of a protest indicates a preemptive measure by authorities to prevent potential unrest. The underlying issue of land rights for Dalits remains a contentious topic in Telangana.

Recommended Action:
- Monitor for further protests or escalations in Hyderabad and adjacent regions.
- Assess the government's response to opposition demands and potential concessions to mitigate tensions.
- Evaluate the impact on local political stability and community relations."
2017-08-01,Goeragre,Strategic developments,Looting/property destruction,Unidentified Armed Group (India),Police Forces of India (2014-),0,Property destruction: 5 police vehicles were set ablaze by an unidentified group in Goeragre on 1 August 2017.,"<s>

INTSUM Report
Date: 01 AUG 2017
Location: Goeragre, West Garo Hills, Meghalaya, India (25.5897, 90.159)
Actors Involved:
- Primary: Unidentified Armed Group (India)
- Secondary: Police Forces of India (2014-)
Event Summary: An unidentified armed group set ablaze five police vehicles in Goeragre, West Garo Hills, Meghalaya, India.
Outcome: Five police vehicles were destroyed by arson.
Casualties/Fatalities: 0
Strategic Implications: The incident indicates heightened unrest or criminal activity in the region, potentially undermining security operations and public trust in law enforcement.
Analyst Remarks: The lack of identified perpetrators complicates response and mitigation efforts. Further intelligence gathering is required to determine the group's motives and capabilities.
Recommended Action: Enhance surveillance and security measures in the area. Conduct thorough investigations to identify and neutralize the responsible group. Coordinate with local authorities to address underlying grievances."
2024-04-04,Kharam Vaiphei,Strategic developments,Disrupted weapons use,Police Forces of India (2014-),Kuki Tribal Militia (India),0,"Weapons seizure: On 4 April 2024, security forces (likely police based on context) retrieved arms and ammunition belonging unidentified armed assailants (likely Kuki based on geography) from an area between Singda Dam and Kharam Vaiphei (coded to Kharam Vaiphei village, Kangpokpi, Manipur) after a search operation amidst ongoing violence between Meitei and tribal, including Kuki-Zomi, communities in the state. Recovered items included one improvised mortar, one carbine machine gun with a magazine, one 9mm pistol with a magazine, one 12 bore gun, two hand grenades, two inch mortar bombs, 11 live rounds and 26 empty cases of ammunition.","<s> INTSUM Report
Date: 04 April 2024
Location: Kharam Vaiphei, Kangpokpi, Manipur, India (24.8678, 93.7571)
Actors Involved:
- Primary Actor: Police Forces of India (2014-)
- Secondary Actor: Kuki Tribal Militia (India) (suspected)

Event Summary:
Security forces conducted a search operation between Singda Dam and Kharam Vaiphei, Manipur, resulting in the seizure of weapons and ammunition. The recovered items included one improvised mortar, one carbine machine gun, one 9mm pistol, one 12-bore gun, two hand grenades, two inch mortar bombs, 11 live rounds, and 26 empty ammunition cases. The weapons are believed to belong to unidentified armed assailants, likely associated with the Kuki Tribal Militia, amidst ongoing ethnic violence in Manipur.

Outcome:
Successful weapons seizure with no reported fatalities.

Casualties/Fatalities:
0

Strategic Implications:
- Disruption of potential armed activities by Kuki Tribal Militia.
- Reduction in immediate threat to local security and civilian populations.
- Potential impact on the ongoing ethnic conflict dynamics in Manipur.

Analyst Remarks:
The seizure indicates heightened security operations in response to escalating violence between Meitei and tribal communities. The presence of improvised and conventional weapons suggests ongoing armed preparations by non-state actors.

Recommended Action:
- Continue enhanced surveillance and patrols in conflict-affected areas.
- Strengthen intelligence-sharing mechanisms to preempt further weapon stockpiling.
- Monitor for retaliatory actions by affected groups."
2024-05-24,Kumbi,Violence against civilians,Attack,Unidentified Armed Group (India),Civilians (India),0,"On 24 May 2024, unidentified armed assailants shot a man on his leg at Akasoi Sellungkhong Maril under Kumbi police station limits (Bishnupur, Manipur) over unknown reasons amidst ongoing violence between Meitei and tribal communities in the state. He was taken to Wangoo Laipham Primary Health Centre and then to Jawaharlal Nehru Institute of Medical Sciences (JNIMS) hospital for treatment.","INTSUM Report
Date: 24 May 2024
Location: Kumbi, Bishnupur District, Manipur, India (24.4351, 93.7985)
Actors Involved:
- Primary: Unidentified Armed Group (India)
- Secondary: Civilians (India)

Event Summary:
Unidentified armed assailants shot a civilian in the leg at Akasoi Sellungkhong Maril, Kumbi, during ongoing ethnic violence between Meitei and tribal communities in Manipur. The victim was transported to Wangoo Laipham Primary Health Centre and subsequently to Jawaharlal Nehru Institute of Medical Sciences (JNIMS) hospital for medical treatment.

Outcome:
- Civilian injured (non-fatal).
- No further details on assailant identity or motives.

Casualties/Fatalities:
- None reported.

Strategic Implications:
- Continued ethnic tensions in Manipur may escalate violence.
- Unidentified armed groups pose a persistent security threat.

Analyst Remarks:
- The attack aligns with broader patterns of ethnic violence in Manipur.
- Lack of actor identification complicates response efforts.

Recommended Action:
- Enhance intelligence gathering on unidentified armed groups.
- Strengthen security presence in conflict-affected areas."
2017-04-03,Bijapur,Violence against civilians,Attack,CPI (Maoist): Communist Party of India (Maoist),Civilians (India),1,"A former 'Salwa Judum' member was allegedly killed by Maoists in Chhattisgarh's restive Bijapur district on Monday. Modiam Somlu (50), an Ex-member of the erstwhile Anti-Naxal movement Salwa Judum, was fatally attacked by the ultras at Loharpara village in Bijapur .","INTSUM Report
Date: 03 April 2017
Location: Loharpara village, Bijapur district, Chhattisgarh, India
Coordinates: 18.7939° N, 80.8159° E
Actors Involved:
- Primary: CPI (Maoist): Communist Party of India (Maoist)
- Secondary: Civilians (India)
- Target: Former 'Salwa Judum' member (Modiam Somlu, 50)

Event Summary:
The CPI (Maoist) conducted an attack on a former member of the anti-Naxal movement 'Salwa Judum' in Loharpara village, Bijapur district, Chhattisgarh. The victim, Modiam Somlu (50), was fatally attacked by Maoist insurgents.

Outcome:
Successful execution of targeted assassination by Maoist insurgents.

Casualties/Fatalities:
- 1 fatality (Modiam Somlu, 50)

Strategic Implications:
- Demonstrates continued Maoist capability to conduct targeted attacks in Chhattisgarh.
- Reinforces Maoist opposition to anti-insurgency movements like 'Salwa Judum'.
- Potential escalation in violence as retaliation or further Maoist operations in the region.

Analyst Remarks:
- The attack underscores the persistent Maoist threat in Bijapur district, a known insurgency hotspot.
- Targeting former 'Salwa Judum' members may indicate a strategic effort to eliminate perceived threats and deter future collaboration with security forces.

Recommended Action:
- Increased intelligence surveillance and security measures in Bijapur district to preempt further Maoist attacks.
- Enhanced protection for former 'Salwa Judum' members and other potential targets in the region.
- Continued monitoring of Maoist activities and potential retaliation by pro-government militias."
2022-12-21,Jammu,Protests,Peaceful protest,Protesters (India),,0,"On 21 December 2022, Kashmiri Pandit package employees held a massive protest at Jammu city (J&K) against the statement of the governor stating that the salaries of package employees will not be released till they join their duties in Kashmir area amidst targeted militant attacks against the community.","INTSUM Report
Date: 2022-12-21
Location: Jammu, Jammu and Kashmir, India (32.7357, 74.8691)
Actors Involved:
- Primary: Kashmiri Pandit package employees (Protesters)
- Secondary: None
- Ally Actors: None

Event Summary:
Kashmiri Pandit package employees staged a large-scale peaceful protest in Jammu city against the Jammu and Kashmir governor's statement that their salaries would be withheld until they resumed duties in Kashmir, citing ongoing militant attacks against the community.

Outcome:
Protesters expressed dissatisfaction with the governor's directive, demanding immediate salary disbursement without the condition of returning to work in Kashmir.

Casualties/Fatalities:
0

Strategic Implications:
- Highlights tensions between the Kashmiri Pandit community and the J&K administration.
- Potential for further protests if the issue is not resolved.
- Could exacerbate communal tensions in the region.

Analyst Remarks:
The protest underscores the vulnerability of the Kashmiri Pandit community and their reluctance to return to Kashmir due to security concerns. The governor's statement may have inadvertently intensified grievances, warranting a balanced approach to address both administrative and security concerns.

Recommended Action:
- Engage in dialogue with the Kashmiri Pandit community to address their concerns.
- Assess security measures in Kashmir to ensure safe working conditions for returning employees.
- Monitor for further protest activity and prepare contingency plans if necessary."
2023-07-07,Ahmadpur,Riots,Mob violence,Rioters (India),,0,"On 7 July 2023, unidentified persons hurled crude bombs at a block development office at Ahmadpur town (Birbhum district, WB) ahead of the panchayat (village government) election day.","INTSUM Report
Date: 7 July 2023
Location: Ahmadpur, Birbhum District, West Bengal, India (23.8295, 87.6905)
Actors Involved:
- Primary: Rioters (India)
- Secondary: None
- Ally Actors: None

Event Summary:
Unidentified rioters hurled crude bombs at a block development office in Ahmadpur ahead of the panchayat (village government) election day, indicating potential election-related violence.

Outcome:
No fatalities reported. Damage to the block development office assessed but unspecified.

Casualties/Fatalities:
0 fatalities, injuries not reported.

Strategic Implications:
- Potential disruption to local governance and election processes.
- Risk of escalation in pre-election violence, affecting regional stability.
- Possible erosion of public trust in local authorities.

Analyst Remarks:
The incident suggests heightened tensions ahead of the panchayat elections, possibly linked to political or communal grievances. Further monitoring is recommended to assess the broader impact on electoral integrity and public safety.

Recommended Action:
- Increase surveillance in Ahmadpur and surrounding areas to prevent further violence.
- Coordinate with local law enforcement to identify and apprehend perpetrators.
- Strengthen security measures at critical infrastructure, particularly government offices and polling stations.
- Engage with community leaders to mitigate tensions and ensure peaceful elections."
